Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,1081.400024,1087.500000,1075.849976,1079.349976,1070.300781,3035780
2018-08-02,1076.750000,1076.849976,1060.680054,1065.099976,1056.170288,4452852
2018-08-03,1066.780029,1073.530029,1057.000000,1060.819946,1051.926025,6802004
2018-08-06,1060.500000,1068.699951,1053.050049,1057.150024,1048.286987,2872316
2018-08-07,1062.500000,1067.250000,1054.000000,1065.449951,1056.517334,3714228
2018-08-08,1067.930054,1075.900024,1066.530029,1068.180054,1059.224487,4972690
2018-08-09,1071.000000,1071.000000,1047.319946,1059.250000,1050.369385,4472204
2018-08-10,1061.750000,1061.900024,1049.000000,1057.219971,1048.356323,2721470
2018-08-13,1042.000000,1051.969971,1040.000000,1045.819946,1037.051880,5027126
2018-08-14,1049.000000,1052.500000,1043.599976,1044.550049,1035.792725,2467982
2018-08-16,1041.500000,1043.349976,1033.199951,1037.849976,1029.148804,5312580
2018-08-17,1041.449951,1046.530029,1035.819946,1038.680054,1029.971924,3032664
2018-08-20,1037.500000,1053.800049,1037.500000,1048.099976,1039.312744,3905568
2018-08-21,1049.000000,1056.000000,1046.319946,1048.030029,1039.243530,3888160
2018-08-23,1052.500000,1053.500000,1038.430054,1039.949951,1031.231079,6287276
2018-08-24,1035.500000,1046.800049,1033.030029,1034.930054,1026.253174,4857314
2018-08-27,1038.500000,1044.250000,1035.119995,1040.219971,1031.498901,6287394
2018-08-28,1044.000000,1049.119995,1039.400024,1047.430054,1038.648438,4986766
2018-08-29,1046.069946,1047.030029,1036.380005,1039.250000,1030.536987,4936846
2018-08-30,1041.800049,1043.949951,1030.930054,1033.050049,1024.389038,10913730
2018-08-31,1034.599976,1039.380005,1029.119995,1030.599976,1021.959534,7885750
2018-09-03,1034.699951,1039.469971,1031.750000,1037.530029,1028.831421,3830804
2018-09-04,1038.449951,1038.969971,1024.500000,1025.900024,1017.298950,3565268
2018-09-05,1026.900024,1030.099976,1017.780029,1022.919983,1014.343872,2820754
2018-09-06,1024.500000,1029.500000,1016.299988,1026.099976,1017.497192,5201206
2018-09-07,1025.500000,1030.000000,1020.380005,1028.469971,1019.847412,2959650
2018-09-10,1027.500000,1027.500000,1012.549988,1020.580017,1012.023560,4299296
2018-09-11,1023.150024,1024.000000,997.075012,1000.200012,991.814453,9093268
2018-09-12,1000.950012,1010.669983,994.775024,1005.919983,997.486450,6123004
2018-09-14,1009.919983,1018.700012,1009.469971,1014.799988,1006.291992,5167336
2018-09-17,1010.650024,1011.469971,994.000000,996.099976,987.748779,4669110
2018-09-18,997.450012,1004.919983,990.474976,994.599976,986.261292,4662868
2018-09-19,997.424988,999.000000,978.250000,980.674988,972.453125,8356132
2018-09-21,986.950012,999.924988,955.099976,985.125000,976.865784,11305074
2018-09-24,983.625000,986.099976,957.500000,962.849976,954.777527,6695396
2018-09-25,962.849976,981.000000,957.500000,976.200012,968.015625,8341276
2018-09-26,981.474976,989.000000,977.650024,984.099976,975.849365,7363362
2018-09-27,984.700012,993.000000,977.575012,988.075012,979.791077,9176104
2018-09-28,990.325012,1007.719971,988.575012,1003.030029,994.620667,7230358
2018-10-01,1004.900024,1021.000000,998.900024,1017.719971,1009.187500,6224794
2018-10-03,1015.219971,1026.099976,1003.500000,1015.580017,1007.065491,7666074
2018-10-04,1004.000000,1008.900024,971.500000,978.875000,970.668213,8985292
2018-10-05,976.974976,995.000000,970.075012,982.650024,974.411560,7864590
2018-10-08,982.500000,984.500000,965.000000,972.500000,964.346619,10064010
2018-10-09,972.200012,982.500000,965.000000,970.299988,962.165100,6229682
2018-10-10,972.500000,991.125000,967.750000,983.575012,975.328796,7969966
2018-10-11,962.500000,974.150024,958.799988,968.775024,960.652893,7179952
